"virtualinvoke $r5.<java.net.HttpURLConnection: void connect()>()","<com.android.main.BaseAuthenicationHttpClient: java.lang.String getStringByURL(java.lang.String)>","<com.android.main.MainService: void onCreate()>"
"specialinvoke $r1.<android.content.IntentFilter: void <init>(java.lang.String)>(""android.provider.Telephony.SMS_RECEIVED"")","<com.android.main.MainService: void onCreate()>","<com.android.main.MainService: void onCreate()>"
"$z0 = virtualinvoke $r4.<java.lang.String: boolean equals(java.lang.Object)>(""android.provider.Telephony.SMS_RECEIVED"")","<com.android.main.MainService$SMSReceiver: void onReceive(android.content.Context,android.content.Intent)>","<com.android.main.MainService$SMSReceiver: void onReceive(android.content.Context,android.content.Intent)>"
"virtualinvoke $r3.<java.net.HttpURLConnection: void connect()>()","<com.android.main.BaseAuthenicationHttpClient: int getCodeByURL(java.lang.String,int)>","<com.android.main.MainService$SMSReceiver: void onReceive(android.content.Context,android.content.Intent)>"
"$r2 = virtualinvoke $r1.<java.net.URL: java.net.URLConnection openConnection()>()","<com.android.main.BaseAuthenicationHttpClient: int getCodeByURL(java.lang.String,int)>","<com.android.main.MainService$SMSReceiver: void onReceive(android.content.Context,android.content.Intent)>"
"$r4 = virtualinvoke $r3.<java.net.URL: java.net.URLConnection openConnection()>()","<com.android.main.BaseAuthenicationHttpClient: java.lang.String getStringByURL(java.lang.String)>","<com.android.main.MainService: void onCreate()>"
"virtualinvoke $r3.<java.net.HttpURLConnection: void connect()>()","<com.wooboo.adlib_android.d: boolean f(java.lang.String)>","<com.wooboo.adlib_android.WoobooAdView: void <init>(android.content.Context,android.util.AttributeSet)>"
"$r2 = virtualinvoke $r1.<java.net.URL: java.net.URLConnection openConnection()>()","<com.wooboo.adlib_android.d: boolean f(java.lang.String)>","<com.wooboo.adlib_android.WoobooAdView: void <init>(android.content.Context,android.util.AttributeSet)>"
