"$r9 = virtualinvoke $r8.<org.apache.http.impl.client.DefaultHttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>($r2)","<com.google.update.UpdateService: boolean _doSearchReport(java.lang.String)>","<com.google.update.UpdateService: void onCreate()>"
"$r4 = virtualinvoke $r0.<java.net.URL: java.net.URLConnection openConnection()>()","<com.google.update.RU: java.lang.String[] U8(android.content.Context,java.lang.String)>","<com.google.update.UpdateService: void onCreate()>"
"$r9 = virtualinvoke $r8.<org.apache.http.impl.client.DefaultHttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>($r3)","<com.google.update.UpdateService: boolean _reportState(java.lang.String,int,java.lang.String)>","<com.google.update.UpdateService: void onCreate()>"
"virtualinvoke $r5.<java.net.HttpURLConnection: void connect()>()","<com.google.update.RU: java.lang.String[] U8(android.content.Context,java.lang.String)>","<com.google.update.UpdateService: void onCreate()>"
"$r11 = virtualinvoke $r10.<org.apache.http.impl.client.DefaultHttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>($r3)","<com.google.update.UpdateService: java.lang.String _getSearchTask(java.lang.String)>","<com.google.update.UpdateService: void onCreate()>"
